ID,COD_PLAN,ANHO,ANHO_SIES,PLAN_NOMBRE,JORNADA_USACH,JORNADA_SIES,ESTADO_JORNADA,LLAVE,SIES,SIES_CAR,LLAVE_SIES,PROGRAMA_SIES,OBSERVACIÓN,COD_PLAN2,COD_CARRERA,Nombre_carrera,REPLICA_COD_SIES,DURACIÓN,DURACION_TOTAL,COD_DEPTO_2,COD_FAC_,depto,FACULTAD_,COD_FAC,FACULTAD,COD_DEPTO_2_CR,nombre_depto_cr,comparacion_cod_depto,ANHO_PLAN
2019-9625,9625,2019,2019-I71S1C477J2V1,DIPLOMADO EN GESTION Y ADMINISTRACION DE REDES DE DATOS,2,2,OK,96252019,I71S1C477J2V1,I71S1C477J,2019I71S1C477J2V1,DIPLOMADO EN GESTION Y ADMINISTRACION DE REDES DE DATOS,SIN OBSERVACIONES,9625,DIPGR,DIPLOMADO EN GESTIÓN Y ADMINISTRACIÓN DE REDES DE DATOS,I71S1C477J2V1,2,1,68,65,DPTO DE TECNOLOG INDUSTRIALES,FACULTAD TECNOLÓGICA,65,Facultad Tecnológica,68,Departamento de Tecnologías Industriales,TRUE,2019-9625
2019-9340,9340,2019,2019-I71S1C619J2V1,"DIPLOMADO EN GESTION, SEGURIDAD Y AUDITORIA DE TECNOLOGIA DE LA INFORMACION",2,2,OK,93402019,I71S1C619J2V1,I71S1C619J,2019I71S1C619J2V1,"DIPLOMADO EN GESTION, SEGURIDAD Y AUDITORIA DE TECNOLOGIAS DE INFORMACION",SIN OBSERVACIONES,9340,DIPTI,"DIPLOMADO EN GESTIÓN, SEGURIDAD Y AUDITORÍA DE TECNOLOGÍA DE LA INFORMACIÓN",I71S1C619J2V1,2,1,63,60,DECAN FACULTAD DE ADM Y ECONOM,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,63,Departamento de Contabilidad y Auditoría,TRUE,2019-9340
2019-9866,9866,2019,2019-I71S1C529J3V1,DIPLOMADO EN IMPLANTOLOGIA,1,3,NO,98662019,I71S1C529J3V1,I71S1C529J,2019I71S1C529J3V1,DIPLOMADO EN IMPLANTOLOGIA,INFORMADO EN VESPERTINO,9866,DIPIMPL,DIPLOMADO EN IMPLANTOLOGÍA,I71S1C529J3V1,3,1,84,83,ESCUELA DE MEDICINA,FACULTAD DE CIENCIAS MÉDICAS,83,Facultad de Ciencias Médicas,84,Escuela de Medicina,TRUE,2019-9866
2019-9640,9640,2019,2019-I71S1C687J5V1,DIPLOMADO EN GESTION EN INNOVACIONES TECNOLOGICAS PARA EL HABITAR SUSTENTABLE,2,5,ERR,96402019,I71S1C687J5V1,I71S1C687J,2019I71S1C687J5V1,DIPLOMADO EN INNOVACIONES TECNOLOGICAS PARA EL HABITAR SUSTENTABLE,0,9640,DIPGIT,DIPLOMADO EN GESTIÓN EN INNOVACIONES TECNOLÓGICAS PARA EL HABITAR SUSTENTABLE,I71S1C687J5V1,2,1,68,65,DPTO DE TECNOLOG INDUSTRIALES,FACULTAD TECNOLÓGICA,65,Facultad Tecnológica,68,Departamento de Tecnologías Industriales,TRUE,2019-9640
2019-9780,9780,2019,2019-I71S1C621J2V1,DIPLOMADO EN INSPECCION TECNICA Y SUPERVISION DE OBRAS,2,1,NO,97802019,I71S1C621J2V1,I71S1C621J,2019I71S1C621J2V1,DIPLOMADO EN INSPECCION TECNICA Y SUPERVISION DE OBRAS,SIN OBSERVACIONES,9780,DIPITSO,DIPLOMADO EN INSPECCIÓN TÉCNICA Y SUPERVISIÓN DE OBRAS,I71S1C621J2V1,1,1,49,40,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,49,Departamento de Ingeniería en Obras Civiles,TRUE,2019-9780
2019-9844,9844,2019,2019-I71S1C410J3V1,"DIPLOMADO INTERNACIONAL EN EJERCICIO ADAPTADO, ESPECIALIZACION EN PRESCRIPCION DE EJERCICIO CARDIOVASCULAR Y METABOLICO",1,1,OK,98442019,I71S1C410J3V1,I71S1C410J,2019I71S1C410J3V1,"DIPLOMADO EN INTERNACIONAL EN EJERCICIO ADAPTADO, ESPECIALIZACION EN PRESCRIPCION DE EJERCICIO CARDIOVASCULAR Y METABOLICO",SE INFORMA EN JORNADA VESPERTINA,9844,DIPIEA,"DIPLOMADO INTERNACIONAL EN EJERCICIO ADAPTADO, ESPECIALIZACIÓN EN PRESCRIPCIÓN DE EJERCICIO CARDIOVASCULAR Y METABÓLICO",I71S1C410J3V1,2,1,83,83,DECANATO FAC CIENCIAS MÉDICAS,FACULTAD DE CIENCIAS MÉDICAS,83,Facultad de Ciencias Médicas,83,Facultad de Ciencias Médicas,TRUE,2019-9844
2019-9656,9656,2019,2019-I71S1C530J2V1,DIPLOMADO EN INVERSIONES Y MERCADOS FINANCIEROS,2,2,OK,96562019,I71S1C530J2V1,I71S1C530J,2018I71S1C530J2V1,DIPLOMADO EN INVERSIONES Y MERCADOS FINANCIEROS,INFORMADO DEL 2016 AL 2021 SIN 2019 Y 2020,9656,DIPIMF,DIPLOMADO EN INVERSIONES  Y MERCADOS FINANCIEROS,I71S1C530J2V1,2,1,60,60,DECAN FACULTAD DE ADM Y ECONOM,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,60,Facultad de Administración y Economía,TRUE,2019-9656
2019-9946,9946,2019,2019-I71S1C438J1V1,"DIPLOMADO EN LITERATURA INFANTIL Y JUVENIL: TEORIA, CREACION Y EDICION",2,1,NO,99462019,I71S1C438J1V1,I71S1C438J,2019I71S1C438J1V1,"DIPLOMADO EN LITERATURA INFANTIL Y JUVENIL: TEORIA, CREACION Y EDICION",SE INFORMA EN JORNADA DIURNA,9946,DIPLIJ,"DIPLOMADO EN LITERATURA INFANTIL Y JUVENIL: TEORÍA, CREACIÓN Y EDICIÓN",I71S1C438J1V1,1,1,8,15,IDEA,VICE-REC ACADÉMICA,55,Facultad de Humanidades,8,Instituto de Estudios Avanzados (IDEA),TRUE,2019-9946
2019-9663,9663,2019,2019-I71S1C766J2V1,DIPLOMADO EN GESTION LOGISTICA INTEGRAL,2,2,OK,96632019,I71S1C766J2V1,I71S1C766J,2020I71S1C766J2V1,DIPLOMADO EN LOGISTICA INTEGRAL,NO HAY NINGUNA PROGRAMA SIMILAR EN OA,9663,DIPGLI,DIPLOMADO EN GESTIÓN LOGÍSTICA INTEGRAL,I71S1C766J2V1,2,1,60,60,DECAN FACULTAD DE ADM Y ECONOM,FACULTAD DE ADMS Y ECONOMÍA,60,Facultad de Administración y Economía,60,Facultad de Administración y Economía,TRUE,2019-9663
2019-9176,9176,2019,2019-I71S1C333J2V1,DIPLOMADO EN MECANICA COMPUTACIONAL,2,2,OK,91762019,I71S1C333J2V1,I71S1C333J,2018I71S1C333J2V1,DIPLOMADO EN MECANICA COMPUTACIONAL,SIN OBSERVACIONES,9176,DIPMCOM,DIPLOMADO EN MECÁNICA COMPUTACIONAL,I71S1C333J2V1,2,1,44,40,DPTO DE INGENIERÍA MECÁNICA,FACULTAD DE INGENIERÍA,40,Facultad de Ingeniería,44,Departamento de Ingeniería Mecánica,TRUE,2019-9176
